date,ndvi_sg,T2M,PPT,RAD,RH
2001-02-24,0.185633306101062,24.4,0,21.26,26.79
2001-03-01,0.175745959965093,25.45,8.88,17.25,31.41
2001-03-06,0.16535950716062,24.58,0.7100000000000001,20.07,39.03
2001-03-11,0.154473947687644,26.05,0.39,16.94,35.08
2001-03-16,0.142408681543661,28.6,1.19,22.35,23.6
2001-03-21,0.130524908733679,28.39,3.0500000000000003,21.94,29.41
2001-03-26,0.119503229260202,29.28,1.31,25.68,17.01
2001-03-31,0.110024243125736,26.87,0,26.62,12.46
2001-04-05,0.102768550332784,29.93,0,25.56,12.18
2001-04-10,0.0983940949330812,30.21,1.84,19.94,32.87
2001-04-15,0.0976570745131949,28.6,17.880000000000003,20.59,54.98
2001-04-20,0.10140472528242,29.56,0,28.96,20.48
2001-04-25,0.110194064309985,33.4,0,27.79,14.04
2001-04-30,0.124062947386624,34.65,5.59,26.48,16.98
2001-05-05,0.142464722360914,35.13,0,27.75,16.99
2001-05-10,0.164366477950366,35.33,2.23,25.89,22.09
2001-05-15,0.18861283980576,33.02,5.18,24.69,33.52
2001-05-20,0.214164148811173,33.8,6.5,25.39,34.07
2001-05-25,0.23996993364472,32.55,11.43,23.84,46.76
2001-05-30,0.264608806044135,29.23,16.02,21.87,63.41
2001-06-04,0.287608212633071,28.85,6,23.68,64.38
2001-06-09,0.309459891942423,27.19,87.04,17.21,78.93
2001-06-14,0.33075287492779,25.04,39.62,10.82,84.19
2001-06-19,0.351420940492767,25.43,33.29,17.05,85.07
2001-06-24,0.369877537426786,25.06,79.43,9.13,87.79
2001-06-29,0.383666348977534,25.73,48.83,16.63,87.45
2001-07-04,0.391552291897083,26.22,139.58,14.29,89.29
2001-07-09,0.393757300707528,23.65,126.27,5.87,91.19
2001-07-14,0.391397932781117,24.71,70.7,8.24,92.46
2001-07-19,0.385831830423759,24.32,72.17999999999999,10.36,94.43
2001-07-24,0.377831217353105,24.23,47.260000000000005,15.04,92.52
2001-07-29,0.368119277134668,24.38,6.17,16.96,90.09
2001-08-03,0.357473482688269,25.11,71.25,17.84,89.88
2001-08-08,0.346671306933729,25.67,27.060000000000002,18.67,88.5
2001-08-13,0.336490222790872,25.36,68.98,12.97,92.1
2001-08-18,0.327707703179518,24.51,65.46,7.73,94.15
2001-08-23,0.320682053068644,25.34,128.03,12.5,93.23
2001-08-28,0.317250033007884,24.81,9.889999999999999,18.54,87.89
2001-09-02,0.321737056341359,24.73,33.44,17.52,89.1
2001-09-07,0.328425724105097,25.02,13.889999999999999,20.78,82.87
2001-09-12,0.332120790213506,24.96,13.16,21.29,83.43
2001-09-17,0.330291909518449,25.35,2.5,22.08,72.07
2001-09-22,0.322249746298296,25.11,13.13,22.55,72.7
2001-09-27,0.311563016458593,24.59,9.93,18.66,85.88
2001-10-02,0.304732138908715,24.45,47.85,12.8,91.51
2001-10-07,0.299086660604233,24.41,17.14,18.17,87.53
2001-10-12,0.293742467925593,24.13,1.05,19.46,77.56
2001-10-17,0.288917340288542,21.13,0,20.91,63.63
2001-10-22,0.284545856595039,21.14,0,20.35,70.96
2001-10-27,0.28056259574704,21.8,0.01,19.46,67.63
2001-11-01,0.276902136646502,23.49,0,19.73,49.12
2001-11-06,0.273499058195382,21.27,0.7,17.71,70.19
2001-11-11,0.270287939295638,20.21,0,18.02,61.21
2001-11-16,0.267203358849227,22.29,1.46,17.27,65.43
2001-11-21,0.264179895758105,19.33,0,17.58,56.37
2001-11-26,0.261143543046285,18.38,0,16.64,57.6
2001-12-01,0.257969724523764,18.38,0,17.68,32.61
2001-12-06,0.254728761408324,19.73,0,17.34,33.81
2001-12-11,0.25162109273085,19.34,0,16.58,44.9
2001-12-16,0.24884206797344,18.2,0,16.26,37.18
2001-12-21,0.246469348265001,16.14,0,16.84,32.62
2001-12-26,0.244372916134352,17.97,0,15.46,40.65
2001-12-31,0.242195715909624,17.1,0,14.8,30
2002-01-05,0.239566678456939,17.65,0.38,15.05,38.49
2002-01-10,0.23614075745331,19.52,0,17.9,24.66
2002-01-15,0.231714975140595,20.07,0.31,17.14,39.22
2002-01-20,0.226300806881895,19.8,11.25,13.78,61.64
2002-01-25,0.220132229781585,15.43,0.17,17.99,37.86
2002-01-30,0.213609435368969,16.63,0,19.03,28.74
2002-02-04,0.207135970974359,20.69,15.219999999999999,16.06,64.83
2002-02-09,0.201084552977894,19.32,7.15,18.24,49.66
2002-02-14,0.19584306468166,22.09,0.35,21.27,34.15
2002-02-19,0.191915135024794,24.73,3.5300000000000002,18.53,33.48
2002-02-24,0.189470080515037,22.43,0,22.27,24.52
2002-03-01,0.188298576767264,22.95,0,22.1,23.84
2002-03-06,0.187951770556811,25.9,0,21.31,22.56
2002-03-11,0.187921317119537,26.11,1.56,17.72,23.43
2002-03-16,0.187860342698619,26.5,0,25.99,13.13
2002-03-21,0.187928420303813,28.33,0,24.34,17.49
2002-03-26,0.187898222259107,28.35,17.669999999999998,23.65,28.39
2002-03-31,0.187031723838768,28.49,0,27.16,26.1
2002-04-05,0.184961700321176,30.1,1.26,23.17,29.89
2002-04-10,0.181856662740335,30.26,0,27.47,12.65
2002-04-15,0.17747644185409,33.25,0,26.79,15.67
2002-04-20,0.171852379331712,32.89,0.07,28.29,13.57
2002-04-25,0.165137864487063,32.04,0,27.45,8.58
2002-04-30,0.157822073971753,34.26,3.14,25.79,14.62
2002-05-05,0.151493544601354,34.63,0.8200000000000001,26.78,15
2002-05-10,0.148525168128843,36.48,1.69,25.91,20.67
2002-05-15,0.15234263784961,35.79,0.06,25.68,24.69
2002-05-20,0.165731196436095,35.99,4.79,25.99,22.6
2002-05-25,0.187052711031356,33.07,23.68,26.14,30.37
2002-05-30,0.216307181635394,31.99,0.09,28.33,43.2
