date,ndvi_sg,T2M,PPT,RAD,RH
2001-02-24,0.106605569701575,26.52,0.04,21.04,26.18
2001-03-01,0.10617595428699,26.77,12.58,16.1,32.56
2001-03-06,0.105693169079317,25.11,1.39,20.99,39.93
2001-03-11,0.105157214078554,26.99,0.16,21.1,33.18
2001-03-16,0.104495585021399,29.8,0.55,20.91,20.2
2001-03-21,0.103853290434458,29.81,3.71,20.88,28.7
2001-03-26,0.103302834581035,30.8,2.75,24.06,22.58
2001-03-31,0.102916721724433,29.12,0.1,26.14,13.86
2001-04-05,0.102767456127956,32.12,0,23.88,11.72
2001-04-10,0.102958283413098,30.9,3.02,17.39,35.14
2001-04-15,0.103562954041764,30.01,15.940000000000001,20.27,49.22
2001-04-20,0.104463115807303,31.06,0,29.1,19.74
2001-04-25,0.105493281601088,35.06,0,27.45,12.75
2001-04-30,0.106565620147365,35.75,11.58,23.91,19.32
2001-05-05,0.107765032265159,36.25,0.01,27.76,17.62
2001-05-10,0.10941451265727,37.08,1.42,24.57,21.09
2001-05-15,0.111972461114476,34.75,4.09,25.93,30.28
2001-05-20,0.115825503297174,35.43,7.26,22.89,31.16
2001-05-25,0.121294319725454,33.58,7.59,21.92,43.78
2001-05-30,0.127140955905841,32.1,7.65,21.84,50.72
2001-06-04,0.13694188779639,30.7,7.69,20.85,57.92
2001-06-09,0.157441690241898,27.81,97.32,16.91,78.9
2001-06-14,0.193152027435209,26.02,44.85,13.74,81.23
2001-06-19,0.242237758174337,26.43,32.63,14.45,82.6
2001-06-24,0.291934396042784,25.95,103.9,11.01,86.64
2001-06-29,0.32821224594784,26.56,56.61,16,84.8
2001-07-04,0.346911940720269,27.49,78.43,13.89,86.75
2001-07-09,0.352425429126875,24.77,118.99,5.74,89.2
2001-07-14,0.352751179997866,25.65,55.78,10.21,90.86
2001-07-19,0.354153758770496,25.34,52.19,11.67,91.7
2001-07-24,0.355718003045354,25.48,19.63,15.17,89.85
2001-07-29,0.356892381316651,25.57,6.47,16.2,87.96
2001-08-03,0.357771955871688,26.04,49.46,16.56,89.27
2001-08-08,0.358451788997769,26.14,29.27,19.1,88.24
2001-08-13,0.359026942982198,26.18,36.03,12.95,89.79
2001-08-18,0.359592480112277,25.77,83.61,10.42,92.08
2001-08-23,0.359626093906444,26.19,150.02,14.56,91.03
2001-08-28,0.360183765859968,25.95,2.7399999999999998,18.88,87.3
2001-09-02,0.366562932149986,26.13,20.9,17.36,88.01
2001-09-07,0.37311080720702,26.38,23.43,18.4,81.89
2001-09-12,0.375049452372311,26.33,5.26,19.84,83.49
2001-09-17,0.370491369662267,26.58,2.73,21.35,73.29
2001-09-22,0.358952954521123,25.83,25.669999999999998,22.38,74.09
2001-09-27,0.344105505683748,25.63,17.61,20.01,87.28
2001-10-02,0.333606084717034,25.38,41.57,11.17,91.61
2001-10-07,0.324405997967071,25.4,32.839999999999996,17.86,88.58
2001-10-12,0.315501725566457,24.81,1.44,20.11,80.44
2001-10-17,0.307152810824438,22.07,0.05,20.95,70.99
2001-10-22,0.299297798991203,22.11,0,20.44,74.87
2001-10-27,0.29187523531694,22.35,0.14,18.87,71.57
2001-11-01,0.284823665051837,23.62,0,19.83,56.7
2001-11-06,0.278081633446083,21.27,0.14,17.39,77.34
2001-11-11,0.271587685749866,20.87,0.02,17.8,66.15
2001-11-16,0.265280367213374,23.69,2.36,17.22,72.05
2001-11-21,0.259098223086796,20.6,0,17.59,62.47
2001-11-26,0.252968419464798,19.7,0,16.83,61.32
2001-12-01,0.24675343543413,19.54,0,17.98,37.84
2001-12-06,0.240574935469998,19.97,0,17.43,43.23
2001-12-11,0.234713886493717,19.9,0,16.45,58.82
2001-12-16,0.229422550592104,17.9,0,16.27,46.11
2001-12-21,0.224773586793556,16.43,0,16.97,41.99
2001-12-26,0.220546261900836,18.45,0,15.53,49.85
2001-12-31,0.216173249052111,18.06,0,14.8,43.18
