"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2001-02-24,0.0986252278089523,"Landsat7 (ETM+)",2001,2,24,0.0986252278089523,0.0986431810526419
2001-03-01,0.0986629578852552,"Landsat7 (ETM+)",2001,3,1,0.0986629578852552,0.0986450046415656
2001-03-06,0.0987037309665502,"Landsat7 (ETM+)",2001,3,6,0.0987037309665502,0.0986857777228607
2001-03-11,0.0987655002965271,"Landsat7 (ETM+)",2001,3,11,0.0987655002965271,0.098765500296527
2001-03-16,0.0988662191188751,"Landsat7 (ETM+)",2001,3,16,0.0988662191188751,0.0988662191188751
2001-03-21,0.0990238406772841,"Landsat7 (ETM+)",2001,3,21,0.0990238406772841,0.0990238406772841
2001-03-26,0.0992563182154435,"Landsat7 (ETM+)",2001,3,26,0.0992563182154435,0.0992563182154435
2001-03-31,0.0995816049770428,"Landsat7 (ETM+)",2001,3,31,0.0995816049770428,0.0995816049770429
2001-04-05,0.100017654205772,"Landsat7 (ETM+)",2001,4,5,0.100017654205772,0.100017654205772
2001-04-10,0.10058241914532,"Landsat7 (ETM+)",2001,4,10,0.10058241914532,0.100364656552004
2001-04-15,0.101293853039377,"Landsat7 (ETM+)",2001,4,15,0.101293853039377,0.100594592067245
2001-04-20,0.102169909131632,"Landsat7 (ETM+)",2001,4,20,0.102169909131632,0.102064773059955
2001-04-25,0.105515047895597,"Landsat7 (ETM+)",2001,4,25,0.105515047895597,0.106624155098153
2001-04-30,0.115259701937618,"Landsat7 (ETM+)",2001,4,30,0.115259701937618,0.11579585176146
2001-05-05,0.130086795054741,"Landsat7 (ETM+)",2001,5,5,0.130086795054741,0.130101349886781
2001-05-10,0.148526425307593,"Landsat7 (ETM+)",2001,5,10,0.148526425307593,0.148526425307593
2001-05-15,0.169108690756804,"Landsat7 (ETM+)",2001,5,15,0.169108690756804,0.169108690756804
2001-05-20,0.190363689463,"Landsat7 (ETM+)",2001,5,20,0.190363689463,0.190363689463
2001-05-25,0.210821519486811,"Landsat7 (ETM+)",2001,5,25,0.210821519486811,0.210824346990118
2001-05-30,0.229012278888864,"Landsat7 (ETM+)",2001,5,30,0.229012278888864,0.229007554082917
2001-06-04,0.243466065729787,"Landsat7 (ETM+)",2001,6,4,0.243466065729787,0.243112930108964
2001-06-09,0.252683289285482,"Landsat7 (ETM+)",2001,6,9,0.252683289285482,0.251764602669902
2001-06-14,0.255288191256113,"Landsat7 (ETM+)",2001,6,14,0.255288191256113,0.254734974499056
2001-06-19,0.253333045084555,"Landsat7 (ETM+)",2001,6,19,0.253333045084555,0.253278720787783
2001-06-24,0.249822421896237,"Landsat7 (ETM+)",2001,6,24,0.249822421896237,0.250316968334284
2001-06-29,0.247760892816586,"Landsat7 (ETM+)",2001,6,29,0.247760892816586,0.24874615900486
2001-07-04,0.249771136404585,"Landsat7 (ETM+)",2001,7,4,0.249771136404585,0.249961559303986
2001-07-09,0.25423782503583,"Landsat7 (ETM+)",2001,7,9,0.25423782503583,0.25402063971707
2001-07-14,0.260177244133956,"Landsat7 (ETM+)",2001,7,14,0.260177244133956,0.260114431455902
2001-07-19,0.267265212242175,"Landsat7 (ETM+)",2001,7,19,0.267265212242175,0.267265212242175
2001-07-24,0.275177547903695,"Landsat7 (ETM+)",2001,7,24,0.275177547903695,0.275177547903695
2001-07-29,0.283590069661728,"Landsat7 (ETM+)",2001,7,29,0.283590069661728,0.283590069661728
2001-08-03,0.292178596059482,"Landsat7 (ETM+)",2001,8,3,0.292178596059482,0.292178596059482
2001-08-08,0.300618945640168,"Landsat7 (ETM+)",2001,8,8,0.300618945640168,0.300618945640168
2001-08-13,0.308586936946995,"Landsat7 (ETM+)",2001,8,13,0.308586936946995,0.308586936946995
2001-08-18,0.315758388523175,"Landsat7 (ETM+)",2001,8,18,0.315758388523175,0.315758388523175
2001-08-23,0.321809118911916,"Landsat7 (ETM+)",2001,8,23,0.321809118911916,0.32195221948408
2001-08-28,0.326414946656428,"Landsat7 (ETM+)",2001,8,28,0.326414946656428,0.32672720188356
2001-09-02,0.329251690299923,"Landsat7 (ETM+)",2001,9,2,0.329251690299923,0.328574248439264
2001-09-07,0.328492612377886,"Landsat7 (ETM+)",2001,9,7,0.328492612377886,0.327553575894293
2001-09-12,0.322788685560226,"Landsat7 (ETM+)",2001,9,12,0.322788685560226,0.323908741201693
2001-09-17,0.318212302725442,"Landsat7 (ETM+)",2001,9,17,0.318212302725442,0.318192242108149
2001-09-22,0.311664479173865,"Landsat7 (ETM+)",2001,9,22,0.311664479173865,0.311357363619986
2001-09-27,0.303792669707251,"Landsat7 (ETM+)",2001,9,27,0.303792669707251,0.303924847880743
2001-10-02,0.295260244433535,"Landsat7 (ETM+)",2001,10,2,0.295260244433535,0.295313722000311
2001-10-07,0.286169059009513,"Landsat7 (ETM+)",2001,10,7,0.286169059009513,0.286169059009513
2001-10-12,0.276620969091979,"Landsat7 (ETM+)",2001,10,12,0.276620969091979,0.276620969091979
2001-10-17,0.266717830337726,"Landsat7 (ETM+)",2001,10,17,0.266717830337726,0.266717830337726
2001-10-22,0.256561498403549,"Landsat7 (ETM+)",2001,10,22,0.256561498403549,0.256561498403549
2001-10-27,0.246253828946243,"Landsat7 (ETM+)",2001,10,27,0.246253828946243,0.246253828946243
2001-11-01,0.235896677622601,"Landsat7 (ETM+)",2001,11,1,0.235896677622601,0.235896677622601
2001-11-06,0.225591900089417,"Landsat7 (ETM+)",2001,11,6,0.225591900089417,0.225591900089417
2001-11-11,0.215441352003487,"Landsat7 (ETM+)",2001,11,11,0.215441352003487,0.215441352003487
2001-11-16,0.205546889021603,"Landsat7 (ETM+)",2001,11,16,0.205546889021603,0.205546889021603
2001-11-21,0.196010366800561,"Landsat7 (ETM+)",2001,11,21,0.196010366800561,0.196010366800561
2001-11-26,0.186933640997155,"Landsat7 (ETM+)",2001,11,26,0.186933640997155,0.186931792907518
2001-12-01,0.178418567268178,"Landsat7 (ETM+)",2001,12,1,0.178418567268178,0.178407694745885
2001-12-06,0.170567001270425,"Landsat7 (ETM+)",2001,12,6,0.170567001270425,0.170579346585172
