"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2001-02-24,0.184952706098557,"Landsat7 (ETM+)",2001,2,24,0.184952706098557,0.185633306101062
2001-03-01,0.176426559967597,"Landsat7 (ETM+)",2001,3,1,0.176426559967597,0.175745959965093
2001-03-06,0.166040107163125,"Landsat7 (ETM+)",2001,3,6,0.166040107163125,0.16535950716062
2001-03-11,0.154473947687644,"Landsat7 (ETM+)",2001,3,11,0.154473947687644,0.154473947687644
2001-03-16,0.142408681543661,"Landsat7 (ETM+)",2001,3,16,0.142408681543661,0.142408681543661
2001-03-21,0.130524908733679,"Landsat7 (ETM+)",2001,3,21,0.130524908733679,0.130524908733679
2001-03-26,0.119503229260202,"Landsat7 (ETM+)",2001,3,26,0.119503229260202,0.119503229260202
2001-03-31,0.110024243125736,"Landsat7 (ETM+)",2001,3,31,0.110024243125736,0.110024243125736
2001-04-05,0.102768550332784,"Landsat7 (ETM+)",2001,4,5,0.102768550332784,0.102768550332784
2001-04-10,0.0984167508838515,"Landsat7 (ETM+)",2001,4,10,0.0984167508838515,0.0983940949330812
2001-04-15,0.0976494447814428,"Landsat7 (ETM+)",2001,4,15,0.0976494447814428,0.0976570745131949
2001-04-20,0.101147232028062,"Landsat7 (ETM+)",2001,4,20,0.101147232028062,0.10140472528242
2001-04-25,0.109828600109303,"Landsat7 (ETM+)",2001,4,25,0.109828600109303,0.110194064309985
2001-04-30,0.123937205619638,"Landsat7 (ETM+)",2001,4,30,0.123937205619638,0.124062947386624
2001-05-05,0.142462215727492,"Landsat7 (ETM+)",2001,5,5,0.142462215727492,0.142464722360914
2001-05-10,0.164366477950366,"Landsat7 (ETM+)",2001,5,10,0.164366477950366,0.164366477950366
2001-05-15,0.18861283980576,"Landsat7 (ETM+)",2001,5,15,0.18861283980576,0.18861283980576
2001-05-20,0.214164148811173,"Landsat7 (ETM+)",2001,5,20,0.214164148811173,0.214164148811173
2001-05-25,0.239983252484105,"Landsat7 (ETM+)",2001,5,25,0.239983252484105,0.23996993364472
2001-05-30,0.265032998342056,"Landsat7 (ETM+)",2001,5,30,0.265032998342056,0.264608806044135
2001-06-04,0.288276233902526,"Landsat7 (ETM+)",2001,6,4,0.288276233902526,0.287608212633071
2001-06-09,0.308815654496558,"Landsat7 (ETM+)",2001,6,9,0.308815654496558,0.309459891942423
2001-06-14,0.329858355049509,"Landsat7 (ETM+)",2001,6,14,0.329858355049509,0.33075287492779
2001-06-19,0.351224807016681,"Landsat7 (ETM+)",2001,6,19,0.351224807016681,0.351420940492767
2001-06-24,0.370333147752616,"Landsat7 (ETM+)",2001,6,24,0.370333147752616,0.369877537426786
2001-06-29,0.384601514611859,"Landsat7 (ETM+)",2001,6,29,0.384601514611859,0.383666348977534
2001-07-04,0.391790977550803,"Landsat7 (ETM+)",2001,7,4,0.391790977550803,0.391552291897083
2001-07-09,0.39358918344243,"Landsat7 (ETM+)",2001,7,9,0.39358918344243,0.393757300707528
2001-07-14,0.391343643426808,"Landsat7 (ETM+)",2001,7,14,0.391343643426808,0.391397932781117
2001-07-19,0.385831830423759,"Landsat7 (ETM+)",2001,7,19,0.385831830423759,0.385831830423759
2001-07-24,0.377831217353105,"Landsat7 (ETM+)",2001,7,24,0.377831217353105,0.377831217353105
2001-07-29,0.368119277134668,"Landsat7 (ETM+)",2001,7,29,0.368119277134668,0.368119277134668
2001-08-03,0.357473482688269,"Landsat7 (ETM+)",2001,8,3,0.357473482688269,0.357473482688269
2001-08-08,0.346671306933729,"Landsat7 (ETM+)",2001,8,8,0.346671306933729,0.346671306933729
2001-08-13,0.336490222790872,"Landsat7 (ETM+)",2001,8,13,0.336490222790872,0.336490222790872
2001-08-18,0.327707703179518,"Landsat7 (ETM+)",2001,8,18,0.327707703179518,0.327707703179518
2001-08-23,0.32110122101949,"Landsat7 (ETM+)",2001,8,23,0.32110122101949,0.320682053068644
2001-08-28,0.317448249230609,"Landsat7 (ETM+)",2001,8,28,0.317448249230609,0.317250033007884
2001-09-02,0.317526260732697,"Landsat7 (ETM+)",2001,9,2,0.317526260732697,0.321737056341359
2001-09-07,0.32651399192946,"Landsat7 (ETM+)",2001,9,7,0.32651399192946,0.328425724105097
2001-09-12,0.3406682908535,"Landsat7 (ETM+)",2001,9,12,0.3406682908535,0.332120790213506
2001-09-17,0.32993610909034,"Landsat7 (ETM+)",2001,9,17,0.32993610909034,0.330291909518449
2001-09-22,0.31888783987012,"Landsat7 (ETM+)",2001,9,22,0.31888783987012,0.322249746298296
2001-09-27,0.311593925478453,"Landsat7 (ETM+)",2001,9,27,0.311593925478453,0.311563016458593
2001-10-02,0.305015339422505,"Landsat7 (ETM+)",2001,10,2,0.305015339422505,0.304732138908715
2001-10-07,0.299086660604233,"Landsat7 (ETM+)",2001,10,7,0.299086660604233,0.299086660604233
2001-10-12,0.293742467925593,"Landsat7 (ETM+)",2001,10,12,0.293742467925593,0.293742467925593
