"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2001-02-24,0.106533065438271,"Landsat7 (ETM+)",2001,2,24,0.106533065438271,0.106605569701575
2001-03-01,0.106248458550294,"Landsat7 (ETM+)",2001,3,1,0.106248458550294,0.10617595428699
2001-03-06,0.105765673342621,"Landsat7 (ETM+)",2001,3,6,0.105765673342621,0.105693169079317
2001-03-11,0.105157214078554,"Landsat7 (ETM+)",2001,3,11,0.105157214078554,0.105157214078554
2001-03-16,0.104495585021399,"Landsat7 (ETM+)",2001,3,16,0.104495585021399,0.104495585021399
2001-03-21,0.103853290434458,"Landsat7 (ETM+)",2001,3,21,0.103853290434458,0.103853290434458
2001-03-26,0.103302834581035,"Landsat7 (ETM+)",2001,3,26,0.103302834581035,0.103302834581035
2001-03-31,0.102916721724433,"Landsat7 (ETM+)",2001,3,31,0.102916721724433,0.102916721724433
2001-04-05,0.102767456127956,"Landsat7 (ETM+)",2001,4,5,0.102767456127956,0.102767456127956
2001-04-10,0.102927542054907,"Landsat7 (ETM+)",2001,4,10,0.102927542054907,0.102958283413098
2001-04-15,0.10346948376859,"Landsat7 (ETM+)",2001,4,15,0.10346948376859,0.103562954041764
2001-04-20,0.104465785532309,"Landsat7 (ETM+)",2001,4,20,0.104465785532309,0.104463115807303
2001-04-25,0.105666167348366,"Landsat7 (ETM+)",2001,4,25,0.105666167348366,0.105493281601088
2001-04-30,0.106645872003238,"Landsat7 (ETM+)",2001,4,30,0.106645872003238,0.106565620147365
2001-05-05,0.107767151696532,"Landsat7 (ETM+)",2001,5,5,0.107767151696532,0.107765032265159
2001-05-10,0.10941451265727,"Landsat7 (ETM+)",2001,5,10,0.10941451265727,0.10941451265727
2001-05-15,0.111972461114476,"Landsat7 (ETM+)",2001,5,15,0.111972461114476,0.111972461114476
2001-05-20,0.115825503297174,"Landsat7 (ETM+)",2001,5,20,0.115825503297174,0.115825503297174
2001-05-25,0.121358145434386,"Landsat7 (ETM+)",2001,5,25,0.121358145434386,0.121294319725454
2001-05-30,0.128954893755137,"Landsat7 (ETM+)",2001,5,30,0.128954893755137,0.127140955905841
2001-06-04,0.13900025448845,"Landsat7 (ETM+)",2001,6,4,0.13900025448845,0.13694188779639
2001-06-09,0.152548903807133,"Landsat7 (ETM+)",2001,6,9,0.152548903807133,0.157441690241898
2001-06-14,0.188026440442137,"Landsat7 (ETM+)",2001,6,14,0.188026440442137,0.193152027435209
2001-06-19,0.241373837051902,"Landsat7 (ETM+)",2001,6,19,0.241373837051902,0.242237758174337
2001-06-24,0.295998451352971,"Landsat7 (ETM+)",2001,6,24,0.295998451352971,0.291934396042784
2001-06-29,0.335307641061886,"Landsat7 (ETM+)",2001,6,29,0.335307641061886,0.32821224594784
2001-07-04,0.346171207051516,"Landsat7 (ETM+)",2001,7,4,0.346171207051516,0.346911940720269
2001-07-09,0.34947542306088,"Landsat7 (ETM+)",2001,7,9,0.34947542306088,0.352425429126875
2001-07-14,0.352104586204772,"Landsat7 (ETM+)",2001,7,14,0.352104586204772,0.352751179997866
2001-07-19,0.354153758770496,"Landsat7 (ETM+)",2001,7,19,0.354153758770496,0.354153758770496
2001-07-24,0.355718003045354,"Landsat7 (ETM+)",2001,7,24,0.355718003045354,0.355718003045354
2001-07-29,0.356892381316651,"Landsat7 (ETM+)",2001,7,29,0.356892381316651,0.356892381316651
2001-08-03,0.357771955871688,"Landsat7 (ETM+)",2001,8,3,0.357771955871688,0.357771955871688
2001-08-08,0.358451788997769,"Landsat7 (ETM+)",2001,8,8,0.358451788997769,0.358451788997769
2001-08-13,0.359026942982198,"Landsat7 (ETM+)",2001,8,13,0.359026942982198,0.359026942982198
2001-08-18,0.359592480112277,"Landsat7 (ETM+)",2001,8,18,0.359592480112277,0.359592480112277
2001-08-23,0.360243462675309,"Landsat7 (ETM+)",2001,8,23,0.360243462675309,0.359626093906444
2001-08-28,0.361074952958598,"Landsat7 (ETM+)",2001,8,28,0.361074952958598,0.360183765859968
