"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2001-02-24,0.136080630123615,"Landsat7 (ETM+)",2001,2,24,0.136080630123615,0.136346857187333
2001-03-01,0.134452514126546,"Landsat7 (ETM+)",2001,3,1,0.134452514126546,0.134186287062828
2001-03-06,0.132096710821981,"Landsat7 (ETM+)",2001,3,6,0.132096710821981,0.131830483758263
2001-03-11,0.129279447273638,"Landsat7 (ETM+)",2001,3,11,0.129279447273638,0.129279447273638
2001-03-16,0.126266950545235,"Landsat7 (ETM+)",2001,3,16,0.126266950545235,0.126266950545235
2001-03-21,0.12332544770049,"Landsat7 (ETM+)",2001,3,21,0.12332544770049,0.12332544770049
2001-03-26,0.120721165803122,"Landsat7 (ETM+)",2001,3,26,0.120721165803122,0.120721165803122
2001-03-31,0.118720331916847,"Landsat7 (ETM+)",2001,3,31,0.118720331916847,0.118720331916847
2001-04-05,0.117589173105385,"Landsat7 (ETM+)",2001,4,5,0.117589173105385,0.117589173105385
2001-04-10,0.117593916432453,"Landsat7 (ETM+)",2001,4,10,0.117593916432453,0.117618871428122
2001-04-15,0.119000788961769,"Landsat7 (ETM+)",2001,4,15,0.119000788961769,0.11910479277357
2001-04-20,0.122076017757051,"Landsat7 (ETM+)",2001,4,20,0.122076017757051,0.122167781487721
2001-04-25,0.126823802427487,"Landsat7 (ETM+)",2001,4,25,0.126823802427487,0.126770965323965
2001-04-30,0.132811371194683,"Landsat7 (ETM+)",2001,4,30,0.132811371194683,0.132770706005034
2001-05-05,0.139996889031695,"Landsat7 (ETM+)",2001,5,5,0.139996889031695,0.139995515784462
2001-05-10,0.148352940007522,"Landsat7 (ETM+)",2001,5,10,0.148352940007522,0.148352940007522
2001-05-15,0.157852108191166,"Landsat7 (ETM+)",2001,5,15,0.157852108191166,0.157852108191166
2001-05-20,0.168466977651627,"Landsat7 (ETM+)",2001,5,20,0.168466977651627,0.168466977651627
2001-05-25,0.180170132457904,"Landsat7 (ETM+)",2001,5,25,0.180170132457904,0.18014938448332
2001-05-30,0.192934156678997,"Landsat7 (ETM+)",2001,5,30,0.192934156678997,0.192362787646311
2001-06-04,0.206731634383907,"Landsat7 (ETM+)",2001,6,4,0.206731634383907,0.206158041371752
2001-06-09,0.22175300337476,"Landsat7 (ETM+)",2001,6,9,0.22175300337476,0.223494422447333
2001-06-14,0.243643441964076,"Landsat7 (ETM+)",2001,6,14,0.243643441964076,0.245379748195339
2001-06-19,0.270216150082894,"Landsat7 (ETM+)",2001,6,19,0.270216150082894,0.270469207230418
2001-06-24,0.295124632843542,"Landsat7 (ETM+)",2001,6,24,0.295124632843542,0.293387812957494
2001-06-29,0.312022395358347,"Landsat7 (ETM+)",2001,6,29,0.312022395358347,0.309060774657489
2001-07-04,0.316065537509347,"Landsat7 (ETM+)",2001,7,4,0.316065537509347,0.316544842124197
2001-07-09,0.316890281057807,"Landsat7 (ETM+)",2001,7,9,0.316890281057807,0.31823324960703
2001-07-14,0.317526965656222,"Landsat7 (ETM+)",2001,7,14,0.317526965656222,0.317812500424148
